-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
    autograd::engine::evaluate_function: CloneBackward0         0.51%       3.889ms         0.55%       4.187ms      41.870us       2.080ms         0.25%       4.146ms      41.460us           100  
                                       aten::empty_like         0.49%       3.799ms         0.52%       4.011ms      12.856us       3.463ms         0.42%       5.407ms      17.330us           312  
                                        aten::ones_like         0.29%       2.256ms         0.46%       3.564ms      35.640us       1.692ms         0.21%       4.122ms      41.220us           100  
autograd::engine::evaluate_function: SigmoidBackward...         0.18%       1.404ms         0.45%       3.459ms      34.590us       1.687ms         0.21%       4.057ms      40.570us           100  
                                          aten::squeeze         0.40%       3.097ms         0.41%       3.142ms      15.710us       2.890ms         0.35%       4.149ms      20.745us           200  
                     Optimizer.zero_grad#Adam.zero_grad         0.34%       2.584ms         0.34%       2.584ms      25.840us       3.313ms         0.40%       3.313ms      33.130us           100  
                                       aten::unsqueeze_         0.31%       2.354ms         0.32%       2.487ms      12.435us       2.602ms         0.32%       4.211ms      21.055us           200  
                                          aten::sigmoid         0.32%       2.440ms         0.32%       2.440ms      12.200us       4.030ms         0.49%       4.030ms      20.150us           200  
                                         aten::addcdiv_         0.28%       2.119ms         0.28%       2.119ms       3.532us       6.316ms         0.77%       6.316ms      10.527us           600  
                                          aten::detach_         0.27%       2.039ms         0.27%       2.056ms       9.981us       1.668ms         0.20%       2.907ms      14.112us           206  
                                       SigmoidBackward0         0.20%       1.510ms         0.27%       2.055ms      20.550us       1.302ms         0.16%       2.370ms      23.700us           100  
                                         aten::addcmul_         0.26%       1.963ms         0.26%       1.963ms       3.272us       7.938ms         0.97%       7.938ms      13.230us           600  
                                    aten::empty_strided         0.22%       1.697ms         0.22%       1.697ms       0.393us      29.270ms         3.57%      29.270ms       6.786us          4313  
                                       aten::as_strided         0.17%       1.281ms         0.17%       1.281ms       0.388us      23.647ms         2.89%      23.647ms       7.166us          3300  
                                      aten::as_strided_         0.10%     750.000us         0.10%     750.000us       0.750us       7.366ms         0.90%       7.366ms       7.366us          1000  
                                            aten::empty         0.08%     632.000us         0.08%     632.000us       0.784us       5.827ms         0.71%       5.827ms       7.230us           806  
                                                 detach         0.07%     574.000us         0.07%     574.000us       1.148us       4.316ms         0.53%       4.316ms       8.632us           500  
                                 aten::sigmoid_backward         0.07%     545.000us         0.07%     545.000us       5.450us       1.068ms         0.13%       1.068ms      10.680us           100  
                                              aten::sub         0.04%     311.000us         0.04%     311.000us       3.110us       1.154ms         0.14%       1.154ms      11.540us           100  
                                   aten::_reshape_alias         0.04%     299.000us         0.04%     299.000us       0.748us       2.880ms         0.35%       2.880ms       7.200us           400  
                                          aten::resize_         0.02%     146.000us         0.02%     146.000us       0.365us       2.467ms         0.30%       2.467ms       6.168us           400  
                                       aten::lift_fresh         0.01%      92.000us         0.01%      92.000us       0.300us       1.382ms         0.17%       1.382ms       4.502us           307  
                                aten::broadcast_tensors         0.01%      58.000us         0.01%      58.000us       0.580us     645.000us         0.08%     645.000us       6.450us           100  
                                     aten::resolve_conj         0.00%      26.000us         0.00%      26.000us       0.010us      16.546ms         2.02%      16.546ms       6.618us          2500  
                              aten::_local_scalar_dense         0.00%      19.000us         0.00%      19.000us       0.032us       4.443ms         0.54%       4.443ms       7.405us           600  
                                                detach_         0.00%      17.000us         0.00%      17.000us       0.083us       1.239ms         0.15%       1.239ms       6.015us           206  
                                           AddBackward0         0.00%      12.000us         0.00%      12.000us       0.040us       3.571ms         0.44%       3.571ms      11.903us           300  
                                            aten::fill_         0.00%       2.000us         0.00%       2.000us       0.007us       2.330ms         0.28%       2.330ms       7.767us           300  
                                         CloneBackward0         0.00%       2.000us         0.00%       2.000us       0.020us     994.000us         0.12%     994.000us       9.940us           100  
                                            aten::zero_         0.00%       1.000us         0.00%       1.000us       0.005us       1.358ms         0.17%       1.358ms       6.406us           212  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us     684.000us         0.08%     684.000us       6.840us           100  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 767.997ms
Self CUDA time total: 819.078ms
